Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column,States,Counties
PROFESSIONAL HEALTH SE,WA,PORT ANGELES,0,39,0,POINT (-123.474065 48.128465),,2976
SCENIC MOUNTAIN MEDICA,TX,PORT NECHES,0,394,0,POINT (-93.963619 29.980604),23,2076
SYNERGENE LABORATORY L,TX,HOUSTON,369266,5947,0,POINT (-95.369506 29.760803),23,2024
U T PHYSICIANS,TX,HOUSTON,0,19541,0,POINT (-95.369506 29.760803),23,2024
THEDACARE INC,WI,WEYAUWEGA,316,445,120,POINT (-88.92981 44.317253),41,3076
NNA AUSTIN SAN MARCOS,TX,AUSTIN,0,0,97,POINT (-97.746598 30.264979),23,2924
APOLLO MEDFLIGHT LLC,TX,AMARILLO,0,289485,0,POINT (-101.832013 35.207009),23,788
TMJ INC,UT,WEST JORDAN,0,0,883,POINT (-111.938765 40.610919),13,3176
SENTARA MEDICAL GROUP,VA,NORFOLK,0,30369,0,POINT (-76.285913 36.846164),40,2943
FMCA PA,VA,ROANOKE,463,0,0,POINT (-79.940581 37.270496),40,937
SOAS LLC,WA,CLINTON,0,0,80,POINT (-122.355485 47.978242),6,
JAMSHID MIRZAEI MD PC,WA,PASCO,0,12160,0,POINT (-119.117372 46.241552),6,2981
DEAN CLINIC,WI,MIDDLETON,400,0,0,POINT (-89.511526 43.096855),41,867
BANNER HEALTH PHYSICIA,WY,WHEATLAND,71,0,20701,POINT (-104.95327 42.054383),14,892
RIVERTON PHYSICIAN PRA,WY,RIVERTON,0,1707,0,POINT (-108.392051 43.024647),14,3084
TORRINGTON COMMUNITY H,WY,WHEATLAND,0,0,73,POINT (-104.95327 42.054383),14,892
GUARDIAN FLIGHT LLC,WY,RIVERTON,0,418663,0,POINT (-108.392051 43.024647),14,3084
HOSPITAL PHARMACY,WY,SHERIDAN,821,712,800,POINT (-106.955897 44.795434),14,3123
MEMORIAL HOSPITAL OF C,WY,RAWLINS,899,101208,2000,POINT (-107.237628 41.788174),14,3081
MEMORIAL HOSPITAL SWEE,WY,ROCK SPRINGS,1120,401751,0,POINT (-109.223373 41.590479),14,3125
HOT SPRINGS COUNTY MEM,WY,WORLAND,2044,349,0,POINT (-107.955786 44.016831),14,3127
SAGE WEST HEALTH CARE,WY,RIVERTON,132110,461766,1712,POINT (-108.392051 43.024647),14,3084
NORTH LINCOLN COUNTY H,WY,THAYNE,0,0,607,POINT (-111.002225 42.917295),14,3120
FRONTIER AMBULANCE LLC,WY,RIVERTON,0,15889,0,POINT (-108.392051 43.024647),14,3084
BANNER HEALTH PHYSICIA,WY,TORRINGTON,0,1303,0,POINT (-104.182981 42.067992),14,890
BANNER HEALTH PHYSICIA,WY,WORLAND,0,255,0,POINT (-107.955786 44.016831),14,3127
HOT SPRINGS COUNTY MEM,WY,THERMOPOLIS,32004,36356,0,POINT (-108.211955 43.646066),14,3117
UNIVERSITY OF UTAH ADU,WY,ROCK SPRINGS,3693,12502,0,POINT (-109.223373 41.590479),14,3125
BIG HORN,WY,SHERIDAN,10272,14843,42781,POINT (-106.955897 44.795434),14,3123
QHC UPSTATE MEDICAL PC,NY,MONTICELLO,2529101,4469,10280,POINT (-74.684913 41.654538),47,2180
REGIONAL HEALTH SERVIC,PA,ERIE,89,0,0,POINT (-80.08258 42.127951),48,2504
VIRTUA MEDICAL GROUP,NJ,MOUNT HOLLY,0,25659,0,POINT (-74.787917 39.993083),46,2447
ADVOCATE HEALTH AND HO,IL,CHICAGO,24,0,0,POINT (-87.632398 41.883229),34,1863
EMERGENCY GROUP OF ARI,AZ,PEORIA,1361,1209,0,POINT (-112.237314 33.575086),7,989
DOYLESTOWN MEDICAL ASS,PA,DOYLESTOWN,0,44,0,POINT (-75.130507 40.309997),48,2458
SIDDHARTH H SHAH MD PA,FL,HUDSON,0,2069,0,POINT (-82.695462 28.364189),30,1080
UNC PHYSICIANS AND ASS,NC,CARY,2830,81,214,POINT (-78.781139 35.791444),37,3158
YOUNGS DRUG STORE LLC,AL,LINEVILLE,120,0,9633,POINT (-85.754456 33.310566),29,1496
PHYSICIAN GROUP LC,IL,ALTON,0,3504,0,POINT (-90.149352 38.903341),34,1749
CENTER FOR REMOTE MEDI,NY,EAST ISLIP,219,0,0,POINT (-73.190852 40.731147),47,2179
BRIDGTON HOSPITAL,ME,BRIDGETON,19139,53542,3268,POINT (-70.704289 44.054237),49,413
SANFORD CLINIC,MN,PIPESTONE,0,17227,0,POINT (-96.30752 44.000535),1,1505
MCLEOD LORIS SEACOAST,SC,LITTLE RIVER,542906,1485411,0,POINT (-78.626569 33.870387),33,656
UNIVERSITY OF CINCINNA,IN,INDIANAPOLIS,0,62,0,POINT (-86.156212 39.76845),35,1904
PALISADES MEDICAL BILL,NJ,CLIFFSIDE PARK,245,0,0,POINT (-73.989073 40.82053),46,487
EPILEPSY AND NEUROPHYS,NJ,SPARTA,0,1454,0,POINT (-74.636612 41.03608),46,2586
AGAPE SENIOR PRIMARY C,SC,GALIVANTS FERRY,386,0,0,POINT (-79.246696 34.056099),33,656
LAHEY CLINIC INC,MA,WILMINGTON,56,0,0,POINT (-71.163829 42.558285),25,1915
KETTERING MEDICAL CENT,OH,TROY,54613,24434,0,POINT (-84.208058 40.041657),38,591
FAMILY PRACTICE ASSOCI,TN,BRENTWOOD,452,836,0,POINT (-86.778892 35.995514),39,3018
COMMUNITY MEDICAL ASSO,KY,PEWEE VALLEY,16,135,0,POINT (-85.487572 38.310497),36,1476
COMMUNITY PHYSICIANS O,IN,INDIANAPOLIS,0,9734,0,POINT (-86.156212 39.76845),35,1904
SAMARITAN PACIFIC COMM,OR,DEPOE BAY,712,38,2842,POINT (-124.062309 44.811681),,2372
99 PHARMACY INC,NY,ELMHURST,2560,0,1320,POINT (-73.878304 40.736401),47,2137
GMUC OF SARALAND,AL,SARALAND,314038,86254,0,POINT (-88.084677 30.81739),29,1591
MAT SU EMERGENCY MEDIC,AK,PALMER,21765,16529,0,POINT (-149.122551 61.599411),51,1707
QUICK MED URGENT CARE,OH,YOUNGSTOWN,35,0,0,POINT (-80.649387 41.100083),38,2575
ACCOUNTABLE TEACHING S,FL,WELLINGTON,0,309629,0,POINT (-80.253838 26.661062),30,52
JEFFERSON UNIVERSITY P,PA,PHILADELPHIA,0,1176,0,POINT (-75.16562 39.951061),48,2602
ARIA HEALTH PHYSICIAN,PA,PHILADELPHIA,624,1198,0,POINT (-75.16562 39.951061),48,2602
CAROLINA KIDNEY CARE P,NC,FAYETTEVILLE,0,9434,0,POINT (-78.883659 35.054417),37,2293
ST MARYS MEDICAL GROUP,IN,EVANSVILLE,0,682,0,POINT (-87.569907 37.975708),35,1210
JOHN FITZGIBBON MEMORI,MO,BRUNSWICK,207,0,0,POINT (-93.126829 39.422822),18,2699
MATTHEWS DRUG STORE,NC,CLINTON,0,0,4480,POINT (-78.317008 34.996024),37,2478
MERCY CLINIC PHYSICAL,MO,FLORISSANT,373,1091,0,POINT (-90.322755 38.789013),18,2210
HEMATOGENIX LABORATORY,IL,TINLEY PARK,350614,48187,0,POINT (-87.784288 41.573246),34,1863
FAMILY HEALTH CARE OF,OH,VAN WERT,5596,1667,2254,POINT (-84.575518 40.861623),38,2663
REFUGEE CANYON JOINT F,OH,HEBRON,0,853,0,POINT (-82.491457 39.962302),38,587
ATALLA MEDICAL GROUP,CA,SAN FERNANDO,86051,2236,0,POINT (-118.441744 34.282984),8,1195
MACON COMMUNITY HOSPIT,TN,LAFAYETTE,250478,146355,211,POINT (-86.027064 36.524484),39,2058
ALTAMED HEALTH SERVICE,CA,SOUTH GATE,200446,13320,8022,POINT (-118.206087 33.954211),8,1195
NORTHEAST MEDICAL GROU,CT,WESTPORT,82,295,0,POINT (-73.353182 41.14044),24,1040
KEYSTONE MEDICAL SERVI,NY,BROOKLYN,809,327,0,POINT (-73.990996 40.692529),,2090
FMS ATLANTIC HEMODIALY,NY,JACKSON HEIGHTS,0,0,80,POINT (-73.7453 42.016701),47,2040
HUDSON RIVER HEALTHCAR,NY,SHIRLEY,18228,11836,0,POINT (-72.867688 40.801229),47,2179
COUNTY OF SANTA CRUZ,CA,SANTA CRUZ,15448,743,25133,POINT (-122.028795 36.97414),8,1335
WESTERN NEW YORK MEDIC,NY,CANANDAIGUA,116,482,0,POINT (-77.282497 42.887495),47,2133
ASSOCIATED PHYSICIANS,MA,BOSTON,62594,14169,0,POINT (-71.056742 42.358894),25,1918
ST PAUL PLACE SPECIALI,MD,COCKEYSVILLE,40,29,0,POINT (-76.630743 39.474209),45,1763
PROMEDICA CENTRAL PHYS,OH,PERRYSBURG,468,3479,480,POINT (-83.627836 41.557114),38,2667
CLIFTON SPRINGS HOSPIT,NY,ROCHESTER,590,118,0,POINT (-77.612547 43.155708),47,2093
AMG ILLINIOS,IL,GURNEE,28,55,0,POINT (-87.924192 42.375508),34,1718
LEVINS PHARMACY INC,NY,OCEANSIDE,840,0,2648,POINT (-73.633948 40.642019),47,2094
COUNTRYSIDE REHAB AND,FL,PALM HARBOR,0,95384,0,POINT (-82.761963 28.079017),30,1081
THE EMORY CLINIC,GA,DULUTH,0,1830,0,POINT (-84.145552 34.003794),31,1377
FLOWOOD RIVER OAKS HMA,MS,JACKSON,1462,260,0,POINT (-90.183488 32.302897),32,1645
URGENT CARE OF OCONEE,GA,WATKINSVILLE,149062,44582,8053,POINT (-83.409173 33.863067),31,1514
IHA HEALTH SERVICES CO,MI,HAMBURG,1771,459,0,POINT (-83.800137 42.448969),50,351
PARMET INC DBA METCALF,KY,EDMONTON,40,0,348,POINT (-85.612293 36.980098),36,253
UPMC ALTOONA,PA,ALTOONA,1585,967,0,POINT (-78.401444 40.516403),48,727
ARIZONA ACUTE MEDICAL,AZ,PHOENIX,0,12622,0,POINT (-112.072585 33.448204),7,989
PULMONARY PHYSICIANS O,FL,CORAL SPRINGS,0,114,0,POINT (-80.254183 26.27251),30,1054
PIEDMONT PHYSICIAN NET,SC,ROCK HILL,104,59424,0,POINT (-81.0301 34.94133),33,2585
BAPTIST MEMORIAL MEDIC,MS,OXFORD,103,27089,360,POINT (-89.518625 34.3668),32,1652
SUTTER BAY MEDICAL FOU,CA,BERKELEY,291,0,69,POINT (-122.270455 37.869058),8,1141
CHILDRENS COMMUNITY PE,PA,WASHINGTON,245,0,0,POINT (-80.245438 40.170885),48,2653
MADISON COUNTY MEMORIA,IA,WINTERSET,21000,25431,645,POINT (-94.013379 41.33449),16,289
STEWARD PGH INC,FL,HIALEAH,12419,55463,0,POINT (-80.281502 25.827202),30,1074
ONE MEDICAL,CA,SAN FRANCISCO,3,0,0,POINT (-122.420168 37.78008),8,1180
ALEXANDRIA IMMEDIATE C,MD,COLUMBIA,15122,302,1200,POINT (-76.869905 39.213641),45,421
SCPG ARKANSAS LLC,AR,HEBER SPRINGS,3320,0,65296,POINT (-92.030201 35.491487),15,11
APPALACHIAN MOUNTAIN C,NC,ASHEVILLE,9556,289,8726,POINT (-82.550039 35.595889),37,2232
PINNACLE HEALTH HOSPIT,PA,CARLISLE,0,7164,0,POINT (-77.189095 40.201476),48,2501
MERCY CLINIC ADULT HOS,MO,SAINT LOUIS,0,9,0,POINT (-90.200309 38.630276),18,2223
URGENT TEAM OF ARKANSA,AR,RUSSELLVILLE,35952,4936,200,POINT (-93.133722 35.278146),15,996
SHELBY MEMORIAL HOSPIT,IL,SHELBYVILLE,5255,1920,200,POINT (-88.805835 39.406538),34,1800
APOGEE MEDICAL GROUP T,TN,LEBANON,0,1963,0,POINT (-86.306476 36.213087),39,3019
HART MEDICAL CONSULTIN,PA,PITTSBURGH,3411,0,7171,POINT (-79.994945 40.442169),48,2455
CARE ALLIANCE HEALTH C,OH,CLEVELAND,34663,0,0,POINT (-81.6915 41.505546),38,2515
MERCY HEALTH PARTNERS,MI,HART,0,158,40,POINT (-86.363571 43.703123),50,1308
REGIONAL MEDICAL CENTE,CA,SAN JOSE,1744055,3159336,0,POINT (-121.888128 37.334807),8,1334
GREEN HILLS PHARMACY,TN,NASHVILLE,400,0,1080,POINT (-86.779932 36.166687),39,2005
ASSOCIATED GEN SURGEON,CA,SANTA MONICA,0,110,0,POINT (-118.491512 34.010932),8,1195
COASTAL CHILDRENS CLIN,NC,NEW BERN,16745,1187,17628,POINT (-77.04612 35.108318),37,2292
HEALTHY CONNECTIONS IN,AR,ARKADELPHIA,51,0,0,POINT (-93.053523 34.120959),15,954
SACRED HEART HEALTH SY,FL,PANAMA CITY BEACH,227,0,26090,POINT (-85.889339 30.230503),30,40
FULLERTON RADIOLOGY ME,CA,ANAHEIM,0,349,0,POINT (-117.915638 33.834492),8,1174
THOMASTON PHARMACY PLL,CT,THOMASTON,40,0,4480,POINT (-73.073189 41.674124),24,1042
UNIVERSITY COMMONS PHA,IN,SOUTH BEND,40,0,1213,POINT (-86.251962 41.675032),35,1202
VILLAGE OF GURNEE,IL,ELMHURST,0,21816,0,POINT (-87.939953 41.902162),34,1866
LAHEY PHYSICIAN COMMUN,MA,DANVERS,4133,1214,0,POINT (-70.935673 42.565456),25,1861
PALMETTO HEALTH USC ME,SC,COLUMBIA,1297,49860,1640,POINT (-81.037094 34.009286),33,2581
RAYMORE URGENT CARE LL,MO,RAYMORE,4517,5776,0,POINT (-94.452924 38.804127),18,2697
PATHOLOGY CONSULTANTS,FL,PEMBROKE PINES,1937,7210,0,POINT (-80.279747 26.006156),30,1054
MERCY HOSPTIAL MEDICAL,FL,MARGATE,0,810,0,POINT (-80.204917 26.242534),30,1054
ROBERT WOOD JOHNSON VI,NJ,NORTH BRUNSWICK,0,6390,0,POINT (-74.464761 40.468905),46,2490
SMITH TOWNSHIP VOLUNTE,OH,JACOBSBURG,0,508,0,POINT (-80.904404 39.965),38,2508
HEALTHY WINGS LLC,AZ,TEMPE,931,0,0,POINT (-111.941253 33.425522),7,989
SOUTHWESTERN MICHIGAN,MI,KALAMAZOO,155479,46321,0,POINT (-85.584682 42.289777),50,348
MAURY REGIONAL MEDICAL,TN,WAYNESBORO,391,648,0,POINT (-87.761036 35.320568),39,2160
SUNG S  YANG MD INC,HI,KAILUA,7880,0,0,POINT (-157.736222 21.399719),4,1657
AGAPE SENIOR PRIMARY C,SC,UNION,1005,0,0,POINT (-81.626052 34.72124),33,659
TRICOREX INC,IL,SPARTA,0,508,0,POINT (-89.701917 38.124023),34,1762
COOPER CARE REHAB,NJ,PENNSAUKEN,0,6529,0,POINT (-75.056054 39.964412),46,2448
SAINT LUKES PHYSICIAN,MO,INDEPENDENCE,0,184,0,POINT (-94.412017 39.093659),18,525
SINGING RIVER HEALTH S,MS,GULFPORT,5300,1511,0,POINT (-89.091582 30.369834),32,1644
JDUB PHARMA,CA,VENTURA,0,0,2739,POINT (-119.293107 34.280832),8,1392
EASTERN RADIOLOGISTS,NC,GREENVILLE,1001,6581,0,POINT (-77.3741 35.611332),37,2439
GPS PHYSICIAN GROUP OF,NJ,PISCATAWAY,0,1175,0,POINT (-74.474116 40.543875),46,2490
FINLEY HOSPITAL,IA,DUBUQUE,741,1273,1264,POINT (-90.667314 42.505512),16,1780
SANFORD CLINIC NORTH,ND,MAYVILLE,737,969,638,POINT (-97.324384 47.498067),3,571
FACEY MEDICAL FOUNDATI,CA,IRVINE,228734,15991,0,POINT (-117.824719 33.685908),8,1174
EWING PHARMACY LLC,NJ,EWING,0,0,19366,POINT (-74.800689 40.268811),46,2489
SACRED HEART HOSPITAL,FL,WEWAHITCHKA,109,0,0,POINT (-85.200265 30.112704),30,1103
CITY MEDICAL GROUP INC,CA,LOS ANGELES,0,0,15100,POINT (-118.243344 34.052238),8,1195
PLAINFIELD FIRE PROTEC,IL,PLAINFIELD,0,6645,0,POINT (-88.20075 41.608547),34,140
SHORE HEALTH SYSTEM,MD,EASTON,91584,326048,0,POINT (-76.068527 38.773916),45,425
MERCY CLINIC FORT SMIT,AR,OZARK,399,414,0,POINT (-93.827202 35.486907),15,1020
CROSSROADS URGENT CARE,TN,MURFREESBORO,5878,235,0,POINT (-86.391449 35.845963),39,2108
HARRIS TEETER LLC,NC,CHAPEL HILL,0,0,88155,POINT (-79.055474 35.910262),37,649
FAMILY DRUGS OF INDIAN,FL,INDIANTOWN,80,0,34822,POINT (-80.471029 27.02343),30,1117
PREMIER IMAGING,NC,HIGH POINT,0,20,0,POINT (-80.003935 35.953972),37,643
NEIGHBORHOOD HEALTH CE,OR,BEAVERTON,1325,0,0,POINT (-122.795841 45.48652),12,724
NORTHERN MONMOUTH COUN,NJ,PARLIN,0,3279,0,POINT (-74.3386 40.461899),46,2490
MERCY CLINIC SPRINGFIE,MO,JOPLIN,0,313,0,POINT (-94.512248 37.087628),18,1966
GOSHEN MEDICAL CENTER,NC,GOLDSBORO,205829,24589,40,POINT (-77.999032 35.386634),37,553
VERMILLION PARKE COMMU,IN,BLOOMINGDALE,73,220,0,POINT (-87.250275 39.832358),35,1912
MORRISTOWN EMERGENCY M,NJ,MORRISTOWN,389519,67343,0,POINT (-74.481595 40.79664),46,2492
MURRELET EMERGENCY PHY,AR,MALVERN,21076,1184,0,POINT (-92.812347 34.362369),15,17
AGAPE SENIOR PRIMARY C,SC,ORANGEBURG,120,0,0,POINT (-80.863927 33.487414),33,2579
CAVANAL HILL EMERGENCY,OK,CLAREMORE,28210,9408,0,POINT (-95.61658 36.313969),20,715
MILFORD REGIONAL MEDIC,MA,MILFORD,129901,84847,932,POINT (-71.51683 42.14287),25,1919
ISLAND MEDICAL LOE LLC,NM,CARLSBAD,3661,11321,0,POINT (-104.227819 32.412716),11,611
WEST JEFFERSON HOSPTIA,LA,MARRERO,47104,18202,0,POINT (-90.113961 29.889449),22,1627
ESSENTIA HEALTH WEST,ND,HANKINSON,11243,831,40,POINT (-96.902033 46.06613),3,2428
DLP FRYE MEDICAL GROUP,NC,RUTHERFORDTON,0,436,0,POINT (-81.957345 35.367091),37,2477
EAST LA EMERGENCY PHYS,CA,LOS ANGELES,39977,14147,0,POINT (-118.243344 34.052238),8,1195
BOSTON CHILDRENS HEALT,NY,NEW CITY,1511,0,0,POINT (-73.989429 41.147418),47,628
PRESCOTT UROLOGY LTD,AZ,PRESCOTT,300,0,0,POINT (-112.470124 34.541445),7,944
COMMUNITY PHYSICIANS G,OK,LOCUST GROVE,714,373,0,POINT (-95.168866 36.199842),20,710
BUENA SALUD LLC,MI,DETROIT,0,0,69289,POINT (-83.047853 42.332916),50,1345
